Model,Drive,Fuel,Veh Class,Comb CO2
TT Roadster quattro,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Two Seaters,336
M4 DTM Champions Edition,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,450
Chiron,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,840
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,487
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,541
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,503
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,466
488 gtb,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,501
488 gtb,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,495
488 Spider,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,495
488 Spider,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,501
812 Superfast,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,661
F-TYPE Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,390
F-TYPE Convertible Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,476
F-TYPE Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,390
F-TYPE Coupe Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,476
F-TYPE R AWD Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,500
F-TYPE R AWD Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,500
F-TYPE S AWD Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,426
F-TYPE S AWD Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,426
F-TYPE S Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,407
F-TYPE S Convertible Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,485
F-TYPE S Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,407
F-TYPE S Coupe Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,485
Aventador Coupe,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,731
Aventador Roadster,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,751
Aventador S Coupe,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,731
Aventador S Roadster,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,751
AMG GT (coupe),2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,486
AMG GT (roadster),2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,490
AMG GT S (coupe),2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,486
AMG SLC 43,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,379
SLC 300,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,324
370Z,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,411
370Z,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,426
370Z Roadster,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,433
370Z Roadster,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,447
California T,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Minicompact Cars,478
California T,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Minicompact Cars,487
GTC4Lusso,Part-time 4-Wheel Drive,Gasoline (Premium Unleaded Required),Minicompact Cars,661
GTC4Lusso T,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Minicompact Cars,524
COOPER CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,294
COOPER CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,280
COOPER S CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,315
COOPER S CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,338
JOHN COOPER WORKS CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,315
JOHN COOPER WORKS CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,349
A3,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Subcompact Cars,303
A3 Cabriolet,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Subcompact Cars,315
A3 Cabriolet quattro,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Subcompact Cars,359
A3 quattro,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Subcompact Cars,330
A5 Cabriolet quattro,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,327
A5 quattro,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,327
A5 quattro,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,327
RS3,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,399
S3,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,359
S5,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,374
S5 Cabriolet,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,384
TT Coupe quattro,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Subcompact Cars,336
TT RS,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,395
TTS Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,358
230i Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,324
230i Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,318
230i xDrive Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,333
430i Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,324
430i xDrive Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,343
440i Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,372
440i xDrive Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,382
640i Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,378
640i xDrive Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,396
650i Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,449
650i xDrive Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,463
M2,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,395
M2,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,430
M240i Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,362
M240i Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,411
M240i Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,362
M240i Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,401
M240i xDrive Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,365
M240i xDrive Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Subcompact Cars,365
M4 Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,481
M4 Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,450
M6 Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,553
M6 Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Subcompact Cars,522
CAMARO,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,354
CAMARO,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,379
CAMARO,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Subcompact Cars,396
CAMARO,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Subcompact Cars,437
CAMARO,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,582
CAMARO,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,442
CAMARO,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,559
CAMARO,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,457
LC 500,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,459
LC 500h,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,301
GRANTURISMO,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,572
GRANTURISMO CONVERTIBLE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,577
E 400 (coupe),2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Subcompact Cars,397
E 400 4MATIC (coupe),4-Wheel Drive,Gasoline (Premium Unleaded Required),Subcompact Cars,394
COOPER HARDTOP 2 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,294
COOPER HARDTOP 2 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,282
COOPER HARDTOP 4 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,294
COOPER HARDTOP 4 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,280
COOPER S HARDTOP 2 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,316
COOPER S HARDTOP 2 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,338
COOPER S HARDTOP 4 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,316
COOPER S HARDTOP 4 DOOR,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,338
JOHN COOPER WORKS HARDTOP,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,316
JOHN COOPER WORKS HARDTOP,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Subcompact Cars,338
Beetle Convertible,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Subcompact Cars,308
Beetle Dune Convertible,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Subcompact Cars,305
TLX AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,369
TLX AWD A-SPEC,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,387
TLX FWD,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Compact Cars,330
TLX FWD,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Compact Cars,368
TLX FWD A-SPEC,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Compact Cars,382
A4 quattro,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,327
A4 quattro,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,327
Q3,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Compact Cars,380
Q3 quattro,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,387
S4,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,374
320i,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,323
320i,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,326
320i xDrive,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,332
330i,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,324
330i xDrive,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,333
340i,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,352
340i,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,389
340i xDrive,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,357
340i xDrive,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,390
430i Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,324
430i Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,351
430i Gran Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,324
430i xDrive Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,333
430i xDrive Gran Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,333
440i Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,352
440i Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,389
440i Gran Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,352
440i xDrive Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,357
440i xDrive Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,390
440i xDrive Gran Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,357
640i Gran Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,378
640i xDrive Gran Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,396
650i Gran Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,449
650i xDrive Gran Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,463
Alpina B6 xDrive Gran Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,463
M3,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,450
M3,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Compact Cars,439
M4 Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,450
M4 Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Compact Cars,439
M6 Gran Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,553
M6 Gran Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,522
ATS AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,358
ATS AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Compact Cars,398
ATS-V,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Compact Cars,469
CRUZE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,267
CRUZE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,277
CRUZE PREMIER,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,269
SONIC,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,296
SONIC,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,280
Q50 HYBRID,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Compact Cars,308
Q50 HYBRID AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,321
QX30,2-Wheel Drive  Front,Gasoline (Premium Unleaded Required),Compact Cars,324
QX30 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,362
XE,2-Wheel Drive  Rear,Diesel  ultra low sulfur (15 ppm  maximum),Compact Cars,284
XE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,312
XE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Compact Cars,369
XE AWD,All Wheel Drive,Diesel  ultra low sulfur (15 ppm  maximum),Compact Cars,299
XE AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,321
XE AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,383
CX-3 2WD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,290
CX-3 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Compact Cars,308
MAZDA3 4-Door,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,283
MAZDA3 4-Door,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,281
MAZDA3 4-Door,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,293
AMG CLA 45 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,348
CLA 250,2-Wheel Drive  Front,Gasoline (Premium Unleaded Required),Compact Cars,310
CLA 250 4MATIC,Part-time 4-Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,328
CLA 250 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,328
MIRAGE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,225
MIRAGE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,242
MIRAGE G4,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,237
MIRAGE G4,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,249
WRX,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,420
WRX,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,383
WRX,All Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,471
C-HR,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,305
PRIUS c,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,193
YARIS,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,278
YARIS,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,271
Beetle,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,308
Beetle Dune,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,305
Golf R,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,354
Golf R,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Compact Cars,366
Jetta,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,282
Jetta,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Compact Cars,271
S60 AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Compact Cars,338
S60 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Compact Cars,345
S60 CC AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Compact Cars,354
